_id,Canton,Circuito,Distrito,Edad,Estado Civil,Fecha Infracción,Hora Infracción,Nacionalidad,Provincia,Sexo,Zona,tipo_muert_matriz
983,QUITO,TUMBACO,TUMBACO,44,CASADO,2014-01-15T00:00:00,2015-12-02T02:00:00,ECUADOR,PICHINCHA,FEMENINO,ZONA 9,Homicidios
984,CORONEL_MARCELINO_MARIDUENA,MARCELINO MARIDUEÑA,NARANJITO MARCELINO MARIDUEÑA,37,SOLTERO,2014-01-16T00:00:00,2015-12-02T19:52:00,ECUADOR,GUAYAS,FEMENINO,ZONA 5,Asesinatos
985,DAULE,LA YOLITA,DAULE,67,SOLTERO,2014-06-11T00:00:00,2015-12-02T21:00:00,ECUADOR,GUAYAS,FEMENINO,ZONA 5,Asesinatos
986,BABAHOYO,EL SALTO,BABAHOYO,38,UNION LIBRE,2014-07-11T00:00:00,2015-12-02T06:00:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
987,QUITO,FERROVIARIA,ELOY ALFARO,27,SOLTERO,2014-07-11T00:00:00,2015-12-02T15:20:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
988,LAGO_AGRIO,EL DORADO,LAGO AGRIO,34,SOLTERO,2014-07-11T00:00:00,2015-12-02T21:15:00,ECUADOR,SUCUMBIOS,MASCULINO,ZONA 1,Asesinatos
989,CUENCA,EL VECINO,CUENCA NORTE,18,SOLTERO,2014-08-11T00:00:00,2015-12-02T05:00:00,ECUADOR,AZUAY,MASCULINO,ZONA 6,Asesinatos
990,ESMERALDAS,CENTRO,ESMERALDAS,72,SOLTERO,2014-08-11T00:00:00,2015-12-02T09:30:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Homicidios
991,EL_EMPALME,PUERTO DEL MONO,EL EMPALME,34,CASADO,2014-08-11T00:00:00,2015-12-02T19:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
992,GUAYAQUIL,FLORESTA,SUR,35,CASADO,2014-09-11T00:00:00,2015-12-02T03:45:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
993,ISIDRO_AYORA,ISIDRO AYORA,PEDRO CARBO,42,CASADO,2014-08-11T00:00:00,2015-12-02T00:18:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
994,QUEVEDO,SAN CARLOS,QUEVEDO,62,SOLTERO,2014-09-11T00:00:00,2015-12-02T19:30:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
995,SANTO_DOMINGO,CENTRO,SANTO DOMINGO ESTE,44,CASADO,2014-01-16T00:00:00,2015-12-02T17:31:00,ECUADOR,SANTO_DOMINGO_DE_LOS_TSACHILAS,FEMENINO,ZONA 4,Asesinatos
996,GUAYAQUIL,ESTEROS,ESTEROS,25,SOLTERO,2014-09-11T00:00:00,2015-12-02T09:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
997,SAN_LORENZO,FRONTERA,SAN LORENZO,22,SOLTERO,2014-01-20T00:00:00,2015-12-02T23:24:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
998,SAN_LORENZO,FRONTERA,SAN LORENZO,29,SOLTERO,2014-01-20T00:00:00,2015-12-02T23:36:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
999,SAN_LORENZO,FRONTERA,SAN LORENZO,,SOLTERO,2014-01-20T00:00:00,2015-12-02T23:00:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
